"DEPARTAMENTO","Establecimientos","Porcentaje"
"LIMA",14011,39.5
"PIURA",1846,5.2
"CAJAMARCA",1750,4.93
"AREQUIPA",1605,4.52
"CUSCO",1577,4.45
"CALLAO",1447,4.08
"JUNIN",1434,4.04
"LORETO",1036,2.92
"LA LIBERTAD",1012,2.85
"LAMBAYEQUE",981,2.77
"SAN MARTIN",928,2.62
"PUNO",871,2.46
"AMAZONAS",784,2.21
"AYACUCHO",775,2.18
"APURIMAC",742,2.09
"ANCASH",722,2.04
"ICA",675,1.9
"TACNA",675,1.9
"HUANUCO",565,1.59
"HUANCAVELICA",538,1.52
"PASCO",381,1.07
"UCAYALI",380,1.07
"MADRE DE DIOS",372,1.05
"MOQUEGUA",200,0.56
"TUMBES",163,0.46
